block_size,entropy
1024,4.0437927947690815
2048,3.822410452937659
4096,3.622324559994556
8192,3.440832535184232
16384,3.273731832759811
32768,3.1282887816773783
65536,3.005224872260586
131072,2.903109417662869
262144,2.8105644194128505
524288,2.731152752965616
1048576,2.6610140644189393
